ID,SkillName,NameEffectID,SkillDesc,SkillType,Pr,Lv,clipname,effectTime,NumTime,BeattackclipTime,BeattackEffectTime,CastEffectAssetID,EffectAssetID,BeAttackAssetID,resIconName,GloAction,GloCondition,Actions,Conditions,ImpactPropType,ImpactPropNum,LevelUpNeedItem
1001,连击等级5,531,随机攻击对象，[ff6000]4[-]次攻击，40级可用。并且需要进阶为1转职业等级。,SKT_Active,20600,5,,0.1,0.5,0.5,0.5,84,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk5(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_5(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_5(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_5(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4504
1001,连击等级6,531,随机攻击对象，[ff6000]4[-]次攻击，50级可用。并且需要进阶为1转职业等级。,SKT_Active,96600,6,,0.1,0.5,0.5,0.5,84,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk6(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_6(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_6(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_6(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4505
1001,连击等级7,531,随机攻击对象，[ff6000]5[-]次攻击，60级可用。并且需要进阶为2转职业等级。,SKT_Active,261600,7,,0.1,0.5,0.5,0.5,85,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk7(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_7(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_7(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_7(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_7(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4506
1001,连击等级8,531,随机攻击对象，[ff6000]5[-]次攻击，70级可用。并且需要进阶为2转职业等级。,SKT_Active,621600,8,,0.1,0.5,0.5,0.5,85,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk8(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_8(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_8(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_8(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_8(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4507
1001,连击等级9,531,随机攻击对象，[ff6000]6[-]次攻击，80级可用。并且需要进阶为3转职业等级。,SKT_Active,1271600,9,,0.1,0.5,0.5,0.5,85,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk9(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4508
1001,极限连击,531,随机攻击对象，[ff6000]6[-]次攻击，90级可用。并且需要进阶为3转职业等级。,SKT_Active,,10,,0.1,0.5,0.5,0.5,7,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk10(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,
1011,狂暴等级1,561,提升[ff6000]7％[-]的攻击力，降低[ff6000]5％[-]的防御力，1级可用。,SKT_Active,100,1,,0.1,0.5,0.5,0.5,83,92,18,zhurenIcon_icon,"skill_zhuren_1(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4500
1011,狂暴等级2,561,提升[ff6000]14％[-]的攻击力，降低[ff6000]10％[-]的防御力，10级可用。,SKT_Active,400,2,,0.1,0.5,0.5,0.5,83,92,18,zhurenIcon_icon,"skill_zhuren_2(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4501
1011,狂暴等级3,561,提升[ff6000]21％[-]的攻击力，降低[ff6000]15％[-]的防御力，20级可用。,SKT_Active,1300,3,,0.1,0.5,0.5,0.5,83,92,18,zhurenIcon_icon,"skill_zhuren_3(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4502
1011,狂暴等级4,561,提升[ff6000]28％[-]的攻击力，降低[ff6000]20％[-]的防御力，30级可用。,SKT_Active,5300,4,,0.1,0.5,0.5,0.5,84,92,18,zhurenIcon_icon,"skill_zhuren_4(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4503
1011,狂暴等级5,561,提升[ff6000]35％[-]的攻击力，降低[ff6000]25％[-]的防御力，40级可用。并且需要进阶为1转职业等级。,SKT_Active,20600,5,,0.1,0.5,0.5,0.5,84,92,18,zhurenIcon_icon,"skill_zhuren_5(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4504
1011,狂暴等级6,561,提升[ff6000]42％[-]的攻击力，降低[ff6000]30％[-]的防御力，50级可用。并且需要进阶为1转职业等级。,SKT_Active,96600,6,,0.1,0.5,0.5,0.5,84,92,18,zhurenIcon_icon,"skill_zhuren_6(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4505
1011,狂暴等级7,561,提升[ff6000]49％[-]的攻击力，降低[ff6000]35％[-]的防御力，60级可用。并且需要进阶为2转职业等级。,SKT_Active,261600,7,,0.1,0.5,0.5,0.5,85,92,18,zhurenIcon_icon,"skill_zhuren_7(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4506
1011,狂暴等级8,561,提升[ff6000]56％[-]的攻击力，降低[ff6000]40％[-]的防御力，70级可用。并且需要进阶为2转职业等级。,SKT_Active,621600,8,,0.1,0.5,0.5,0.5,85,92,18,zhurenIcon_icon,"skill_zhuren_8(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4507
1011,狂暴等级9,561,提升[ff6000]63％[-]的攻击力，降低[ff6000]45％[-]的防御力，80级可用。并且需要进阶为3转职业等级。,SKT_Active,1271600,9,,0.1,0.5,0.5,0.5,85,92,18,zhurenIcon_icon,"skill_zhuren_9(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4508
1011,狂魔附身,561,提升[ff6000]70％[-]的攻击力，降低[ff6000]50％[-]的防御力，90级可用。并且需要进阶为3转职业等级。,SKT_Active,,10,,0.1,0.5,0.5,0.5,7,92,18,zhurenIcon_icon,"skill_zhuren_10(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,
1021,反击等级1,516,给予物理攻击[ff6000]0.8[-]倍的伤害，8级可用。,SKT_Passive,100,1,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4500
1021,反击等级2,516,给予物理攻击[ff6000]0.9[-]倍的伤害，10级可用。,SKT_Passive,400,2,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4501
1021,反击等级3,516,给予物理攻击[ff6000]1.0[-]倍的伤害，20级可用。,SKT_Passive,1300,3,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4502
1021,反击等级4,516,给予物理攻击[ff6000]1.1[-]倍的伤害，30级可用。,SKT_Passive,5300,4,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4503
1021,反击等级5,516,给予物理攻击[ff6000]1.2[-]倍的伤害，40级可用。并且需要进阶为1转职业等级。,SKT_Passive,20600,5,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4504
1021,反击等级6,516,给予物理攻击[ff6000]1.3[-]倍的伤害，50级可用。并且需要进阶为1转职业等级。,SKT_Passive,96600,6,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4505
1021,反击等级7,516,给予物理攻击[ff6000]1.4[-]倍的伤害，60级可用。并且需要进阶为2转职业等级。,SKT_Passive,261600,7,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4506
1021,反击等级8,516,给予物理攻击[ff6000]1.5[-]倍的伤害，70级可用。并且需要进阶为2转职业等级。,SKT_Passive,621600,8,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4507
1021,反击等级9,516,给予物理攻击[ff6000]1.6[-]倍的伤害，80级可用。并且需要进阶为3转职业等级。,SKT_Passive,1271600,9,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4508
1021,全体反击,516,给予物理攻击[ff6000]1.7[-]倍的伤害，90级可用。并且需要进阶为3转职业等级。,SKT_Passive,,10,,0.1,0.5,0.5,0.5,,,,fanjiIcon_icon,"skill_fanji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,
1031,破防等级1,501,给防御中的对象[ff6000]1.20[-]倍损伤，1级可用。,SKT_Active,100,1,,0.1,0.5,0.5,0.5,83,-1,19,bengjiIcon_icon,"skill_bengji_1(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4500
1031,破防等级2,501,给防御中的对象[ff6000]1.43[-]倍损伤，10级可用。,SKT_Active,400,2,,0.1,0.5,0.5,0.5,83,-1,19,bengjiIcon_icon,"skill_bengji_2(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4501
1031,破防等级3,501,给防御中的对象[ff6000]1.68[-]倍损伤，20级可用。,SKT_Active,1300,3,,0.1,0.5,0.5,0.5,83,-1,19,bengjiIcon_icon,"skill_bengji_3(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4502
1031,破防等级4,501,给防御中的对象[ff6000]1.95[-]倍损伤，30级可用。,SKT_Active,5300,4,,0.1,0.5,0.5,0.5,84,-1,19,bengjiIcon_icon,"skill_bengji_4(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4503
1031,破防等级5,501,给防御中的对象[ff6000]2.24[-]倍损伤，40级可用。并且需要进阶为1转职业等级。,SKT_Active,20600,5,,0.1,0.5,0.5,0.5,84,-1,19,bengjiIcon_icon,"skill_bengji_5(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4504
1031,破防等级6,501,给防御中的对象[ff6000]2.55[-]倍损伤，50级可用。并且需要进阶为1转职业等级。,SKT_Active,96600,6,,0.1,0.5,0.5,0.5,84,-1,19,bengjiIcon_icon,"skill_bengji_6(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4505
1031,破防等级7,501,给防御中的对象[ff6000]2.88[-]倍损伤，60级可用。并且需要进阶为2转职业等级。,SKT_Active,261600,7,,0.1,0.5,0.5,0.5,85,-1,19,bengjiIcon_icon,"skill_bengji_7(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4506
1031,破防等级8,501,给防御中的对象[ff6000]3.23[-]倍损伤，70级可用。并且需要进阶为2转职业等级。,SKT_Active,621600,8,,0.1,0.5,0.5,0.5,85,-1,19,bengjiIcon_icon,"skill_bengji_8(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4507
1031,破防等级9,501,给防御中的对象[ff6000]3.60[-]倍损伤，80级可用。并且需要进阶为3转职业等级。,SKT_Active,1271600,9,,0.1,0.5,0.5,0.5,85,-1,19,bengjiIcon_icon,"skill_bengji_9(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4508
1031,破防等级10,501,给防御中的对象[ff6000]3.99[-]倍损伤，90级可用。并且需要进阶为3转职业等级。,SKT_Active,,10,,0.1,0.5,0.5,0.5,7,-1,19,bengjiIcon_icon,"skill_bengji_10(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,
1041,乱射等级1,532,[ff6000]3[-]次攻击，于同对象威力递减，1级可用。,SKT_Active,100,1,,0.1,0.5,0.5,0.5,83,46,8,luansheIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_luanshe_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3);skill_luanshe(RECEIVER, ARG0, ARG1, ARG2, ARG3);skill_luanshe(RECEIVER, ARG0, ARG1, ARG2, ARG3)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4500
1041,乱射等级2,532,[ff6000]4[-]次攻击，于同对象威力递减，10级可用。,SKT_Active,400,2,,0.1,0.5,0.5,0.5,83,46,8,luansheIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_luanshe_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3);skill_luanshe(RECEIVER, ARG0, ARG1, ARG2, ARG3);skill_luanshe(RECEIVER, ARG0, ARG1, ARG2, ARG3);skill_luanshe(RECEIVER, ARG0, ARG1, ARG2, ARG3)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4501
1041,乱射等级3,532,[ff6000]5[-]次攻击，于同对象威力递减，20级可用。,SKT_Active,1300,3,,0.1,0.5,0.5,0.5,83,46,8,luansheIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_luanshe_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3);skill_luanshe(RECEIVER, ARG0, ARG1, ARG2, ARG3);skill_luanshe(RECEIVER, ARG0, ARG1, ARG2, ARG3);skill_luanshe(RECEIVER, ARG0, ARG1, ARG2, ARG3);skill_luanshe(RECEIVER, ARG0, ARG1, ARG2, ARG3)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4502
